Client_ID,Client_Name,Industry
C001,Apex Telecom Solutions,Telecom
C002,Global Energy Corp,Energy
C003,MedCare Health Systems,Healthcare
C004,RetailMart Group,Retail
C005,FinTrust Bank,Finance
C006,Nova Manufacturing Ltd,Manufacturing
C007,Connect Wireless,Telecom
C009,LifeBridge Healthcare,Healthcare
C010,Urban Retail Stores,Retail
C011,Capital Finance Services,Finance
C013,Horizon Telecom,Telecom
C014,PowerWave Energy,Energy
C015,WellCare Medical Group,Healthcare
C016,SmartBuy Retail,Retail
C017,Zenith Financial Services,Finance
C018,Prime Industrial Works,Manufacturing
C019,Velocity Communications,Telecom
C020,FutureTech Manufacturing,Manufacturing
